Negation type	Category	Sentence
not	Quotes and idioms	"('not', 'an elderly man is holding a flag pole with a "" do not tread on me "" flag and a sign that says "" thank you u.s. troops . ""')"
not	Salient absence	('not', 'a young male swimmer , not wearing a swim cap , doing the backstroke in a lap pool .')
not	Other	('not', 'a baseball player ( not the pitcher ) is winding up to throw the ball to another player .')
without	Salient absence	('without', 'a child without a shirt running in the dirt .')
no	Salient absence	('no', 'two men with no shirts jumping over a rail .')
no	Salient absence	('no', 'a black man , running in mud , with no shirt on .')
without	Salient absence	('without', 'a man is walking in front of an older home without any paint on it')
n't	Quotes and idioms	"(""n't"", ""sombody has stuck the face of groucho marx on a walk do n't walk button ."")"
not	Negation of property	('not', 'this fruit market is not busy yet .')
no	Salient absence	('no', 'a person jumping their bike in the woods in front of trees with no leaves .')
no	Salient absence	('no', 'two young men one in a yellow sweatshirt and the other has no top on they are tossing a piece of green material .')
no	Salient absence	('no', 'four young men stare up at a basketball hoop with no net , in an outdoor , urban basketball court .')
not	Outside the frame	('not', 'a woman whose head is not visible walks in front of a bus with an advertisement on its side .')
no	Salient absence	('no', 'a man sitting in the street with no shoes on .')
without	Salient absence	('without', 'a man without a shirt working on a rooftop .')
no	Salient absence	('no', 'a little girl runs down a summer street with no shoes and a lunchbox .')
without	Salient absence	('without', 'a man without shirt but wearing a flower necklace is holding a flag pole')
n't	Not a description/Meta	"(""n't"", ""someone who does n't care about the earth was here ."")"
miss	Salient absence	('miss', 'the man in the gray hooded jacket finds the missing piece .')
no	Salient absence	('no', 'a young woman is rock climbing with no rock climbing gear on .')
not	Salient absence	"('not', ""a man wearing a red t-shirt is snowboarding even though he 's not wearing a jacket ."")"
no	Negation of action/behavior	('no', 'a boy is riding a bicycle with no hands near a group of people .')
not	Negation of action/behavior	('not', 'two women who did not aim the camera at their faces .')
without	Salient absence	('without', 'a man is rock climbing without gear .')
no	Salient absence	('no', 'a man with no shirt is leaning on a half-door .')
without	Salient absence	('without', 'a wet , smiling child without a shirt poses with arms raised .')
no	Quotes and idioms	('no', 'a man skateboarding against a construction wall reading no bikes .')
no	Quotes and idioms	"('no', 'a woman walks past a garage door that says "" no parking any time . ""')"
not	Quotes and idioms	"('not', 'a man holds up a small sticker that says "" i am a photographer , not a terrorist "" while standing among a large group of protesters .')"
not	Other	('not', 'shirt-wearing surfer meets a low wave head on , not far from fishing boat in background .')
n't	Negation of action/behavior	"(""n't"", ""a man aims his camera at something in front of him but he is n't looking through the camera ."")"
no	Salient absence	('no', 'dozens of cyclists ride their bikes on a suspension bridge , with no cars visible .')
without	Salient absence	('without', 'two motorcycle racers on a track , one without his motorcycle .')
no	Negation of action/behavior	('no', 'a cyclist riding with no hands in a race .')
without	Negation of action/behavior	('without', 'a baseball player reaches the base without being touched by the opposing player .')
not	Negation of action/behavior	('not', 'a woman is staring outside to a man in a gray jacket not looking back at her .')
no	Salient absence	('no', 'a black man with no shirt is carrying a torch in front of bedazzled elephants .')
not	Quotes and idioms	"('not', 'people walk down a city street at nighttime in front of construction and a "" do not enter "" street sign .')"
miss	Salient absence	('miss', 'an elderly indian woman who is missing most of her teeth and holding a yellow flower .')
no	Salient absence	('no', 'two boys , one wearing a blue shirt and the other has no shirt , sitting on a shoreline paying with water .')
without	Salient absence	('without', 'a little boy without a shirt on is standing in a forest , holding a small bird in his hands .')
no	Salient absence	('no', 'a man is running on the beach with no shirt on .')
no	Quotes and idioms	('no', 'a women` s hand and arm with blue fingernail polish and a tattoo that reads no regrets .')
no	Salient absence	('no', 'man with lots of tattoos and no shirt , wearing a skirt .')
not	Negation of attitude	('not', 'a man and women are holding hands and dancing with many people in the background but they are not paying attention to them .')
without	Salient absence	('without', 'two men without shirt are standing on a grassy area next to a boy with his bicycle .')
not	Quotes and idioms	('not', 'a dark-skinned boy with blue shorts , a black tank top , and sandals is standing on the walk or do not walk street sign .')
not	Negation of action/behavior	('not', 'a black or mixed-race man wearing a denim jacket and baseball cap is holding one arm in the air and with his other hand is holding a microphone to his mouth , but he is not saying anything at the moment the picture is taken .')
lack	Negation of property	('lack', 'an old couple walks along a street that lacks color .')
fail	Negation of action/behavior	('fail', 'a goalie tried and failed to defend a shot in a hockey game .')
not	Salient absence	('not', 'a group of soldiers are standing by a building , along with one man who is not wearing a uniform .')
without	Salient absence	('without', 'two african american women without helmets are riding on a scooter , the passenger is waving to the camera .')
no	Salient absence	('no', 'a dog with no tail runs in the dirt .')
no	Salient absence	('no', 'a man is wearing a blue shirt , with no shoes trying to workout .')
miss	Negation of action/behavior	('miss', 'a girl closes her eyes as she swings the bat and misses the softball .')
without	Salient absence	('without', 'some people are standing up in a truck , or a large vehicle that is without a roof , that has normal ist anders painted on the right side of the windshield .')
no	Salient absence	('no', 'man wearing no pants pulling a cart down the street .')
no	Salient absence	('no', 'two men wearing shorts and no shirts playing beach volleyball .')
no	Salient absence	('no', 'a man in blue pants and no shirt is doing a skateboard trick while another man films it .')
without	Salient absence	('without', 'a orchestra practicing and playing music in a hall without an audience .')
not	Negation of action/behavior	('not', 'a policeman is on horseback nearby not looking at the men on the corner .')
no	Salient absence	('no', 'a brown furry dog is biting a no hair brown dog .')
not	Other	('not', 'a dirt bike racer jumping off a hill with another racer not far behind .')
nothing	Other	('nothing', 'there is a man in shorts wading out waist deep in the water with nothing else in site .')
no	Salient absence	('no', 'the man , with no shirt , reaches into a bucket to extract the substance inside .')
not	Quotes and idioms	"('not', 'a child climbing timber stacks while a sign says "" do not climb on timber stacks "" .')"
no	Salient absence	('no', 'a man wearing no shirt is trimming his beard with an electric trimmer while standing in a driveway .')
not	(Preventing) future events	('not', 'this guy is trying to not get booted in the rear by this bull , looks like he is doing pretty good .')
not	Quotes and idioms	"('not', 'a woman in a green jacket presses the "" do not walk "" button so she can cross the road .')"
no	Salient absence	('no', 'a street performer wearing no shirt is doing an act with fire .')
without	Salient absence	('without', 'a young man without a shirt is wiping something')
miss	Negation of action/behavior	('miss', 'a major league baseball player with the number 22 swings and misses .')
no	Salient absence	('no', 'a smiling girl with no shirt on and braids in her hair plays in the water of a public fountain .')
n't	Negation of attitude	"(""n't"", ""children eating at a outdoor cafe & someone does n't like the menu ."")"
without	Salient absence	('without', 'a man without shirt is working with woods .')
no	Salient absence	('no', 'a puppy with no tail is held by its collar by its owner .')
not	Quotes and idioms	('not', 'two people are crossing the street , even though the sign says they should not be .')
miss	False positive	('miss', 'a person in the ocean wearing a protective vest is being lifted by a helicopter as part of a rescue mission .')
without	Salient absence	('without', 'three people wearing helmets and crime stoppers jerseys are walking down a street in a parade , with another woman wearing a green shirt and without a helmet .')
not	Other	('not', 'a man dressed as a prisoner being punished for not having a permit .')
not	Negation of property	('not', 'a wild animal not found in america jumping through a field .')
miss	False positive	('miss', 'volunteers are in this picture with their dog searching for a missing girls last known playing in the woods .')
not	Not a description/Meta	('not', 'i am really not sure what this group is doing .')
no	Quotes and idioms	"('no', 'three individuals are posing on skis behind a "" no skiing "" sign .')"
no	Salient absence	('no', 'a man with no shirt fishing .')
no	Salient absence	('no', 'a guy in an orange shirt with no sleeves is in a marathon with a black-haired lady next to him .')
n't	Quotes and idioms	"(""n't"", 'a man posing with a "" november ca n\'t come soon enough "" poster .')"
no	Salient absence	('no', 'a man with no shirt sits on a black moped .')
not	Quotes and idioms	"('not', 'many people take pictures as a blond woman wearing a cover-up only costume holds a sign proclaiming "" photographers not predators "" on a pier .')"
no	Negation of action/behavior	('no', 'a man performs a stoppie trick on his bmx green bicycle with no hands .')
no	Quotes and idioms	('no', 'woman in a black dress walking passed a no parking zone .')
no	Salient absence	('no', 'a young guy is brushing his teeth with no shirt standing in front of a mirror wearing his goggles .')
miss	Negation of action/behavior	('miss', 'a cricket player swings his bat , but misses .')
no	Salient absence	('no', 'a young boy with no shirt and white shorts .')
no	Salient absence	('no', 'a woman with long hair wearing a red jacket , orange pants and brown boots holds one hand high in the air as she bends over with one leg extended further than the other with no discernible floor under her feet .')
n't	Salient absence	"(""n't"", ""a man with a disability who does n't have legs is walking with another man who is entered into a marathon ."")"
without	Salient absence	('without', 'two ladies dressed similarly without shoes on , doing a dance on a stage .')
n't	Other	"(""n't"", ""the men decided it would be a nice day to take the boat out for a ride and pose together because they do n't see each other often ."")"
n't	Quotes and idioms	"(""n't"", ""three young boys are engaged in a game of do n't drop the melon ."")"
no	Salient absence	('no', 'a man in shorts with no shirt is standing in front of a group of people on the beach .')
without	Negation of action/behavior	('without', 'a kid eating out of a plate without using his hands .')
miss	False positive	"('miss', 'a child with shaggy , straight , sandy-blonde hair holds up a misspelled sign reading "" radeo "" next to a radio-making kit .')"
not	Salient absence	('not', 'man with an orange shirt is grinding on stone , he is not wearing shoes .')
lack	False positive	('lack', 'a woman is walking on a rope by a lack as the sun sets .')
not	Negation of property	('not', 'three human carriages that are not in service , two of them being used by barefoot men for shade on a hot day .')
no	Salient absence	('no', 'a young boy playing tennis on a wet court with no shoes .')
not	Not a description/Meta	('not', 'not having such a good day .')
without	Salient absence	('without', 'a woman is in a deep sleep without her shoes on .')
without	Salient absence	('without', 'a snowboarder rides down a handrail without snow .')
without	Salient absence	('without', 'a man in blue shorts without a shirt with a fit body running while listening to his ipod .')
not	Salient absence	('not', 'a young woman is not wearing clothes and is taking a picture of herself .')
miss	Negation of action/behavior	('miss', 'the goalie of a ice hockey team misses the puck .')
no	Salient absence	('no', 'a man with no hair is singing .')
without	Negation of action/behavior	('without', 'man , who can operate without looking , tosses pizza dough while two others watch .')
miss	False positive	('miss', 'a large group of people are gathered in two slightly misshapen circles , in front a stage where a band is performing .')
no	Quotes and idioms	('no', 'three people standing in the snow behind a no skiing sign .')
n't	Negation of attitude	"(""n't"", ""a man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left ."")"
not	Negation of attitude	('not', 'a young japanese man does not like his picture taken .')
no	Salient absence	('no', 'a man wearing no shirt and reading a newspaper is standing in a park .')
miss	False positive	('miss', 'three college students studied quietly together missing out on a bright sunny day .')
not	Salient absence	('not', 'a man wearing a skirt talks to a man who is not wearing a shirt as people walk by , both in the street and on a sidewalk .')
nobody	Salient absence	('nobody', 'a chinese man is pushing a wheelchair with nobody in it on a busy chinese street .')
without	Salient absence	('without', 'someone is performing in the open without an audience .')
fail	Negation of action/behavior	('fail', 'a cowboy with a white hat fails to wrangle a calf at a rodeo .')
not	Negation of attitude	('not', 'the lady is watching something she does not like .')
not	Not a description/Meta	('not', 'this bathtub is not staying in the old house .')
not	Negation of action/behavior	('not', 'the gentlemen wait not speaking to one another .')
no	Salient absence	('no', 'a young girl plays in the snow wearing gloves and no coat .')
without	Salient absence	('without', 'a man laying down on grass without socks or shoes , while his tie is covering his eyes .')
no	Quotes and idioms	('no', 'a man with a white no sleeve shirt and red shorts about to hit a volleyball .')
no	Salient absence	('no', 'a man wearing no shirt is lifting a shovel by a wheelbarrow as he works outside .')
nothing	Other	('nothing', 'performing an illusion in a mall while people watch , completely clothed head-to-toe , one seated man elevates another seated man directly above him with nothing but a vertical pole between them .')
not	Negation of action/behavior	"('not', 'a man sits in a dingy stall which says "" sol septu "" on the sidewalk while a man poses before the stand but does not look at it .')"
no	Salient absence	('no', 'an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down along the banks of a trash infested body of water .')
not	Negation of action/behavior	('not', 'two young women wearing white tennis shirts are touching hands but not making eye-contact while a man in the behind them walks by .')
n't	Negation of attitude	"(""n't"", ""a boy from another country is being photographed by a tourist , and he does n't know what to make of it ."")"
n't	Not a description/Meta	"(""n't"", ""that hotdog just was n't going down right , was it the drinking or the burnt dog ?"")"
miss	Quotes and idioms	"('miss', 'a man smokes while leaning against a pillar , which has a "" missing person "" flier posted on it .')"
without	Negation of action/behavior	('without', 'a group of three people pose for a picture with smile while another sits aside without smiling .')
not	Outside the frame	('not', 'people playing pool , one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot .')
no	Salient absence	('no', 'a little girl in a white dress and no shoes walks down a dirt road in america .')
no	Salient absence	('no', 'a group of young children in a village with no paved roads .')
n't	Outside the frame	"(""n't"", ""an older man holds a hammer while watching something we ca n't see ."")"
n't	(Preventing) future events	"(""n't"", ""here is a picture of locals hanging out in front of a store , talking on the phone and making sure their graffiti sign does n't get tagged ."")"
not	Other	('not', 'a foreign person walks with a material down a walkway heading through a residential area of a foreign country that is not recognizable through the photo .')
no	Negation of action/behavior	('no', 'a boy rides a bicycle with no hands and a sign on his shirt in the shape of a lemon that says $ 1 .')
without	Salient absence	('without', 'this is a man without a shirt jumping on a trampoline .')
no	Salient absence	('no', 'a man in a brown hat is helping a man with no hair up off the ground .')
no	Salient absence	('no', 'a man with no shirt is standing in a parade wearing a plastic flower necklace .')
no	Salient absence	('no', 'a lady in a red dress and a guy in a pinstriped suit ( but with no jacket ) are dancing the tango in a courtyard with an amplifier plugged into a wall .')
not	Negation of property	('not', 'group class for martial arts , some in uniform and some not , taking place in an outdoor facility .')
no	Salient absence	('no', 'a man wearing no shirt rides a skateboard with a brown dog .')
fail	Negation of action/behavior	('fail', 'after almost landing his ball in the water , a golfer fails at his recovery shot .')
not	Negation of attitude	('not', 'young couple , the woman dressed in a black jacket , striped scarf and wearing blond pigtails seem to be engaged in a conversation , with the man not looking a little skeptical .')
no	Quotes and idioms	"('no', 'a girl is holding a green sign that says , "" invisible children no child should be a shoulder . ""')"
no	Salient absence	('no', 'no traffic because it is sunday and the man is waiting to cross the road .')
miss	Negation of action/behavior	('miss', 'the batter missed the ball .')
no	Salient absence	('no', 'a man with no shirt plays basketball .')
without	Salient absence	('without', 'one man on the left with black hair , wearing glasses , and another man on the right with slightly graying black hair , without glasses but clasping his hands together , are laughing .')
not	Outside the frame	('not', 'a construction worker pointing to an object or area not seen in photo .')
no	Salient absence	('no', 'a blond kid with no shirt stares out a glass door .')
not	Negation of action/behavior	('not', 'a well lit concert area occupied by an ensemble that is currently not playing their instruments .')
no	Salient absence	('no', 'a man with no shirt is climbing a rock ledge .')
without	Salient absence	('without', 'man without a shirt is climbing a rock .')
no	Salient absence	('no', 'a man with a beard wearing no shirt fixes a bike .')
no	Salient absence	('no', 'a skateboarder attempts a trick with no shirt on .')
no	Salient absence	('no', 'no male construction workers in a work area in a city .')
no	Salient absence	('no', 'a man with no shirt sits on a rock in front of a blue building with a tin roof .')
n't	Not a description/Meta	"(""n't"", ""a man in striped socks and a brown and white jumper is using some kind of object i ca n't identify properly ."")"
no	Salient absence	('no', 'a man wearing shorts and no shirt is squatting .')
without	Salient absence	('without', 'a young man , without apparent protective gear , is on a bicycle jumping over small hills of sand or gravel , with a long bridge and tall buildings in the background .')
miss	Negation of action/behavior	('miss', 'a white guy in the middle of missing another layup .')
no	Salient absence	('no', 'a beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight .')
miss	Salient absence	('miss', 'old woman missing teeth stands with metal object in hand .')
no	Salient absence	('no', 'a young child with no shirt and flip-flops sits on a skateboard in the middle of a street .')
not	Outside the frame	('not', 'many people have gathered to look at something that is not in the photo .')
no	Not a description/Meta	('no', 'variety is the spice of life no matter what the culture may be .')
without	Salient absence	('without', 'a boy without a shirt is running in the street while several people stand behind him .')
no	Salient absence	('no', 'a man with no shirt and a woman in a bikini in the water looking away from the camera .')
not	Other	('not', 'a baseball player from the tigers is sliding onto a base , while the umpire is running to see whether or not the player is safe .')
n't	Outside the frame	"(""n't"", ""a bunch of hippies laying on the ground being entertained by something we ca n't see ."")"
no	Salient absence	('no', 'a group of people on a cliff one with no shirt and khaki shorts , one in a black ball cap , white shirt and black shorts and another in a striped shirt , black shorts holding a video camera .')
without	Salient absence	('without', 'two men without shirts standing on a dilapidated roof talking to each other looking over a town .')
no	Salient absence	('no', 'a young girl sits on the edge of a stream in pink polka dot pants with no shirt .')
without	Salient absence	('without', 'a man without a shirt , sitting on a chair on a riverbank , talking on a cellphone .')
never	Quotes and idioms	('never', 'a man with white shirt and blue jeans pushing a truck with a picture of a woman edwards saying real colors never dye')
no	Salient absence	('no', 'a man wearing no shirt is walking next to a black pick up truck .')
no	Salient absence	('no', 'a young man with no shirt on is wearing black pants and sneakers is jumping over a blue skateboard .')
no	Salient absence	('no', 'a teenager wearing striped shorts and no shirt is skateboarding down a road a long the ocean .')
no	Salient absence	('no', 'man wearing a helmet is taking two small children with no helmets for a ride on a motorcycle .')
no	Salient absence	('no', 'a bulldozer on a beach with no water .')
nothing	Negation of action/behavior	('nothing', 'a tall and bored looking man is just standing around doing nothing .')
no	Salient absence	('no', 'a man with a cigarette in his mouth , with no shirt , wearing shorts .')
n't	Other	"(""n't"", ""the young boys are looking for apples that do n't exist ."")"
not	Negation of property	('not', 'there are four boys playing soccer , but not all of them are on the same team , the closest boy is on the red team wearing white trunks and a white shirt while the other three boys are on the blue team and wearing blue trunks and blue shirts .')
no	Salient absence	('no', 'there are two women wearing two piece bathing suits and a man wearing no shirt are in the middle of dome tents .')
no	Quotes and idioms	"('no', ""a young girl 's hand with blue nail polish and a tattoo that says ' no regrets ' in cursive lettering is clenched in a loose fist in front of a black and white zippered handbag ."")"
no	Salient absence	('no', 'a man wearing no shirt and a backpack runs with a box on his head .')
not	Salient absence	('not', 'a dog walking around with his leash but not with his owner .')
no	Salient absence	('no', 'two boys with no shirts on wearing blue crocks stand on a rock .')
not	Other	"('not', ""if it were not for the top of some man 's head , one would see a group of boy scouts sitting in front of a barricade surrounding a crowd of people holding english flags in birmingham ."")"
not	Salient absence	('not', 'a dance troupe of twelve people spotlighted and wearing black shirts , pants , and fedora hats holding canes above their heads being lead by another dancer dressed all in white and not wearing a fedora .')
no	Salient absence	('no', 'a young man in a blue short-sleeved shirt climbs up a rock face with no ropes .')
no	Salient absence	('no', 'a man wearing tight green pants and no shirt is doing a handstand on a tiny platform on top of a pole .')
no	Salient absence	('no', 'a young man with no shirt on is riding a bike .')
miss	Negation of action/behavior	('miss', 'man playing for a baseball team with a blue protective hat and baseball uniform , playing for south carolina , is swinging the bat and missing the ball .')
not	Outside the frame	('not', 'a small to medium sized white short-haired dog is looking up at an owner not in the photo .')
without	Salient absence	('without', 'six males , four with shirts and two without , have taken a break from their construction work on a building .')
no	Salient absence	('no', 'a motorcyclist speeds down a racing course , with no other riders in sight .')
no	Salient absence	('no', 'a man with no shirt on is standing next to a dumpster outside .')
no	Other	('no', 'two little girls looking into the camera with no emotion on there faces .')
no	Salient absence	('no', 'a group is dancing with no shoes , with lights in the background .')
no	Negation of action/behavior	('no', 'a woman in the picture has fallen down and no one is stopping to help her up .')
without	Salient absence	('without', 'a boy scaling down rocks without any climbing gear .')
without	Salient absence	('without', 'a table of computer laptops and their users , in the background are people without computers .')
not	Other	('not', 'a man is fishing off a beach into a large body of water while a young boy carries a net not too far away .')
no	Salient absence	('no', 'a lady and a man with no shirt sit on a dock .')
n't	Quotes and idioms	"(""n't"", 'a woman in a blue winter coat and a person in a black winter vest are crossing the street when the "" do n\'t walk "" sign is lit .')"
no	Salient absence	('no', 'a woman in a bikini top is on the bench and a man with no shirt is talking to her .')
no	Salient absence	('no', 'a man wearing a blue jacket fishing in a river having a conversation with his friend with no shirt .')
not	Negation of attitude	('not', 'two men are showing a fighting move while one man appears not to be enjoying it too much .')
no	Salient absence	('no', 'a child with jeans and no shirt sits at the top of a mound of rocks .')
without	Salient absence	('without', 'two men in germany jumping over a rail at the same time without shirts .')
no	Salient absence	('no', 'a man is standing with no shirt on is standing in waist-deep water .')
no	Salient absence	('no', 'a man wearing no shirt climbs a steep cliff .')
no	Other	('no', 'a boy band and no one even matches someone should have sent a memo .')
not	Negation of action/behavior	('not', 'during a race , the blue biker cleared a jump safely , while another biker appears to not be doing as well as the biker jumping .')
not	(Preventing) future events	('not', 'onlookers are praying that the cowboy does not fall off the bull in the rodeo .')
no	Salient absence	('no', 'a boy with no shirt is doing a trick on a skateboard .')
no	Salient absence	('no', 'a man with no shirt on is rock climbing .')
no	Salient absence	('no', 'two kids are looking up , one has no shirt and the other has on a white shirt with a stool on his head .')
not	Other	('not', 'two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them .')
n't	Other	"(""n't"", ""roofer going to get the rest of his tools after realizing the chainsaw is n't the right tool for the job ."")"
not	Negation of property	('not', 'a woman wearing yellow is outside under a hut that has not yet been completely built .')
miss	Negation of action/behavior	('miss', 'a male tennis player , wearing a white headband , misses an in-bounds ball .')
not	Salient absence	('not', 'a man in a penguin suit runs with a man , not in a penguin suit .')
no	Salient absence	('no', 'a man with no shirt sitting on a moped .')
not	Salient absence	('not', 'a man working on a roof the man is not wearing a shirt because it looks like a hot day .')
not	Negation of property	('not', 'two enormous elephants standing on a platform not fenced in , with a lady sitting causally sitting on a bench , in front of them .')
not	Salient absence	('not', 'four guys three wearing hats one not are jumping at the top of a staircase .')
no	Negation of property	"('no', ""a man does fake rock climbing on a park 's rock climbing rock that is no more than eleven feet tall ."")"
miss	Salient absence	('miss', 'an elderly woman with missing teeth holding a flower .')
without	Salient absence	('without', 'a troupe of three , one with a cello and one with a violin , perform in a room without a stage .')
no	Salient absence	('no', 'the boy who is walking is wearing gray shorts and no shirt .')
no	Salient absence	('no', 'a man with no shirt on is hunched over pressing a blade up against his right pectoral muscle , as he shows signs of agony .')
no	Salient absence	('no', 'a man with no shirt and black pants is playing the drums .')
not	Negation of attitude	('not', 'a group of people not wanting to take a picture .')
no	Salient absence	('no', 'a man with no shirt on playing the drums .')
without	Salient absence	('without', 'a man without a shirt climbs a rock wall with help from a red rope .')
without	Salient absence	('without', 'here are ten people skating and one guy without a shirt dancing on concrete in a tree-lined park .')
